I0,I1,I2
38.000000,69.800003,70.400002
38.000000,68.500000,70.000000
38.000000,66.199997,69.300003
38.000000,66.199997,68.599998
38.000000,64.699997,67.800003
38.000000,63.599998,67.000000
38.000000,66.699997,66.900002
38.000000,60.700001,65.699997
38.000000,59.599998,64.500000
38.000000,57.299999,63.000000
38.000000,56.200001,61.700001
38.000000,54.299999,60.200001
38.000000,53.400002,58.799999
38.000000,52.700001,57.599998
38.000000,50.900002,56.299999
38.000000,49.900002,55.000000
38.000000,48.799999,53.700001
38.000000,47.500000,52.500000
38.000000,46.599998,51.299999
38.000000,45.799999,50.200001
38.000000,44.000000,49.000000
38.000000,40.799999,47.299999
38.000000,46.299999,47.099998
38.000000,41.200001,45.900002
38.000000,40.299999,44.799999
38.000000,39.900002,43.799999
38.000000,38.299999,42.700001
38.000000,36.900002,41.500000
38.000000,37.700001,40.799999
38.000000,36.500000,39.900002
38.000000,34.599998,38.900002
38.000000,36.500000,38.400002
38.000000,34.500000,37.599998
38.000000,32.200001,36.500000
38.000000,33.900002,36.000000
38.000000,33.099998,35.400002
38.000000,32.599998,34.900002
38.000000,31.500000,34.200001
38.000000,31.600000,33.700001
38.000000,30.600000,33.099998
38.000000,31.200001,32.700001
38.000000,31.799999,32.500000
38.000000,30.299999,32.099998
38.000000,29.600000,31.600000
38.000000,29.600000,31.200001
38.000000,33.299999,31.600000
38.000000,28.900000,31.100000
38.000000,28.799999,30.600000
38.000000,28.400000,30.200001
38.000000,27.200001,29.600000
38.000000,30.299999,29.700001
38.000000,27.200001,29.200001
38.000000,27.600000,28.900000
38.000000,27.299999,28.600000
38.000000,26.900000,28.200001
38.000000,25.900000,27.799999
38.000000,27.200001,27.700001
38.000000,27.000000,27.500000
38.000000,26.500000,27.299999
38.000000,26.400000,27.100000
38.000000,26.500000,27.000000
38.000000,25.600000,26.700001
38.000000,22.100000,25.799999
38.000000,26.799999,26.000000
38.000000,27.100000,26.200001
38.000000,24.900000,26.000000
38.000000,25.100000,25.799999
38.000000,25.500000,25.700001
38.000000,26.400000,25.900000
38.000000,25.700001,25.799999
38.000000,24.200001,25.500000
38.000000,26.299999,25.700001
